Respondent,Region,Country
20001,South-West,Germany
20002,South-West,Germany
20003,North,Poland
20004,South-East,Poland
20005,South-East,Germany
20006,North,Poland
20007,South-East,Germany
20008,South-West,Germany
20009,North,Poland
20010,North,Poland
20011,South-East,Poland
20012,South-East,Germany
20013,South-West,Germany
20014,South-West,Germany
20015,North,Poland
20016,South-East,Poland
20017,South-East,Germany
20018,South-West,Poland
20019,South-East,Germany
20020,South-West,Germany
20021,South-West,Poland
20022,North,Poland
20023,South-East,Poland
20024,South-West,Germany
20025,South-West,Poland
20026,North,Poland
20027,South-East,Poland
20028,South-West,Germany
20029,South-West,Germany
20030,North,Germany
20031,North,Poland
20032,South-East,Germany
20033,South-East,Germany
20034,North,Germany
20035,South-West,Germany
20036,North,Poland
20037,North,Poland
20038,South-East,Poland
20039,South-West,Germany
20040,South-West,Germany
20041,North,Germany
20042,South-East,Poland
20043,South-West,Germany
20044,South-West,Germany
20045,North,Germany
20046,North,Poland
20047,South-East,Poland
20048,South-East,Poland
20049,North,Poland
20050,South-West,Germany
20051,North,Germany
20052,North,Poland
20053,South-West,Poland
20054,South-West,Poland
20055,North,Germany
20056,South-East,Germany
20057,South-East,Poland
20058,North,Germany
20059,South-East,Germany
20060,South-West,Germany
20061,North,Germany
20062,North,Poland
20063,South-West,Poland
20064,North,Poland
20065,North,Poland
20066,South-East,Poland
20067,South-East,Germany
20068,North,Germany
20069,South-West,Poland
20070,North,Germany
20071,North,Germany
20072,South-West,Germany
20073,South-West,Germany
20074,North,Poland
20075,South-East,Poland
20076,South-East,Poland
20077,North,Germany
20078,South-East,Germany
20079,South-East,Poland
20080,North,Germany
20081,South-East,Poland
20082,South-West,Poland
20083,South-West,Germany
